,statistischer_Bezirk_Name,statistischer_Bezirk_Nr,Stichtag,Indikator,Einheit,Wert
100,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,1771
101,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,883
102,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,888
103,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,1650
104,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,121
105,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,86
106,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,1236
107,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,234
108,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,137
109,Lichtenhain Ort,51,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,78
110,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,1079
111,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,536
112,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,543
113,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,1060
114,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,19
115,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,105
116,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,544
117,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,191
118,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,131
119,Mühlenstraße,52,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,108
120,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,1557
121,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,763
122,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,794
123,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,1551
124,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,6
125,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,218
126,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,370
127,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,342
128,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,401
129,Lobeda-Altstadt,61,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,226
130,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,10257
131,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,4711
132,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,5546
133,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,9719
134,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,538
135,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1339
136,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,3242
137,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1623
138,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,2465
139,Lobeda-West,62,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1588
140,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,6927
141,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,3266
142,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,3661
143,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,6674
144,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,253
145,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,859
146,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,2322
147,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1238
148,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1523
149,Lobeda-Ost,63,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,985
150,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,728
151,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,369
152,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,359
153,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,715
154,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,13
155,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,118
156,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,165
157,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,131
158,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,129
159,Löbstedt Ort,71,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,185
160,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5368
161,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,2477
162,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,2891
163,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5303
164,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,65
165,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,612
166,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,1087
167,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,840
168,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1154
169,Nord II,72,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1675
170,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2662
171,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,1304
172,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,1358
173,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2621
174,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,41
175,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,564
176,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,906
177,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,432
178,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,403
179,Wenigenjena / Kernberge,81,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,357
180,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5412
181,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,2568
182,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,2844
183,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5243
184,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,169
185,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,712
186,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,2002
187,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1030
188,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,846
189,Wenigenjena Ort,82,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,822
190,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5664
191,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,2737
192,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,2927
193,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5626
194,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,38
195,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,748
196,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,1314
197,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1214
198,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1364
199,Wenigenjena / Schlegelsberg,83,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1024
200,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,12804
201,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,6064
202,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,6740
203,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,12593
204,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,211
205,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1841
206,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,3793
207,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,2963
208,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,2527
209,Winzerla,90,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1680
210,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,603
211,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,296
212,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,307
213,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,598
214,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,5
215,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,83
216,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,140
217,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,151
218,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,136
219,Wöllnitz,100,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,93
220,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,391
221,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,196
222,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,195
223,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,387
224,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,4
225,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,52
226,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,95
227,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,96
228,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,90
229,Ziegenhain Ort,111,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,58
230,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2092
231,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,1010
232,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,1082
233,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2074
234,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,18
235,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,297
236,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,581
237,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,419
238,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,472
239,Ziegenhainer Tal,112,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,323
240,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2449
241,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,1215
242,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,1234
243,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2391
244,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,58
245,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,499
246,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,692
247,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,659
248,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,378
249,Zwätzen,120,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,221
250,Drackendorf / Lobeda-Ost,131,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,7487
