,statistischer_Bezirk_Name,statistischer_Bezirk_Nr,Stichtag,Indikator,Einheit,Wert
7385,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1437
7386,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,4167
7387,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1911
7388,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1158
7389,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1097
7390,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,10981
7391,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,5293
7392,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,5688
7393,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,10542
7394,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,439
7395,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1339
7396,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,4516
7397,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1845
7398,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1305
7399,Jena-Nord,43,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1976
7400,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,8722
7401,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,4244
7402,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,4478
7403,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,8378
7404,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,344
7405,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1195
7406,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,3796
7407,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1514
7408,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1007
7409,Jena-Süd,44,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1210
7410,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,1220
7411,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,703
7412,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,517
7413,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,978
7414,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,242
7415,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,92
7416,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,677
7417,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,206
7418,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,150
7419,Lichtenhain Ort,51,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,95
7420,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,1169
7421,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,594
7422,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,575
7423,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,1137
7424,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,32
7425,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,126
7426,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,608
7427,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,183
7428,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,132
7429,Mühlenstraße,52,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,120
7430,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,1626
7431,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,822
7432,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,804
7433,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,1615
7434,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,11
7435,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,246
7436,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,328
7437,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,366
7438,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,327
7439,Lobeda-Altstadt,61,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,359
7440,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,10156
7441,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,4772
7442,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,5384
7443,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,9166
7444,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,990
7445,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1183
7446,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,3795
7447,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1194
7448,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1529
7449,Lobeda-West,62,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,2455
7450,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,6298
7451,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,3000
7452,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,3298
7453,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5986
7454,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,312
7455,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,677
7456,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,2197
7457,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,867
7458,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1255
7459,Lobeda-Ost,63,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1302
7460,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,762
7461,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,387
7462,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,375
7463,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,752
7464,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,10
7465,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,129
7466,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,154
7467,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,164
7468,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,106
7469,Löbstedt Ort,71,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,209
7470,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5602
7471,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,2592
7472,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,3010
7473,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5501
7474,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,101
7475,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,590
7476,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,1154
7477,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,908
7478,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,744
7479,Nord II,72,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,2206
7480,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2656
7481,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,1308
7482,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,1348
7483,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2576
7484,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,80
7485,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,447
7486,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,847
7487,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,527
7488,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,388
7489,Wenigenjena / Kernberge,81,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,447
7490,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5798
7491,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,2778
7492,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,3020
7493,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5534
7494,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,264
7495,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,784
7496,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,2086
7497,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1137
7498,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,770
7499,Wenigenjena Ort,82,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1021
7500,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5647
7501,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,2737
7502,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,2910
7503,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,5577
7504,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,70
7505,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,724
7506,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,1136
7507,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1172
7508,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1115
7509,Wenigenjena / Schlegelsberg,83,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1500
7510,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,11355
7511,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,5446
7512,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,5909
7513,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,11081
7514,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,274
7515,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1159
7516,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,3516
7517,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1929
7518,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,2391
7519,Winzerla,90,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,2360
7520,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,569
7521,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,287
7522,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,282
7523,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,562
7524,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,7
7525,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,73
7526,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,96
7527,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,122
7528,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,127
7529,Wöllnitz,100,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,151
7530,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,408
7531,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,205
7532,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,203
7533,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,405
7534,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,3
7535,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,65
7536,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,83
7537,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,84
7538,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,90
7539,Ziegenhain Ort,111,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,86
7540,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2307
7541,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,1091
7542,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,1216
7543,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2280
7544,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,27
7545,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,365
7546,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,513
7547,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,495
7548,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,434
7549,Ziegenhainer Tal,112,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,500
7550,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2737
7551,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,1376
7552,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,1361
7553,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2605
7554,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,132
7555,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,495
7556,Zwätzen,120,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,650
